Surface [m2],Rooms,Price [CHF/month],Country,City
71.0,3.0,1566,Germany,Freiburg
36.0,2.0,470,Germany,Freiburg
57.0,2.0,908,Germany,Freiburg
40.0,2.0,652,Germany,Freiburg
76.0,3.0,1430,Germany,Freiburg
78.0,3.0,830,Germany,Freiburg
65.0,2.0,731,Germany,Freiburg
56.0,2.0,418,Germany,Freiburg
85.0,2.0,992,Germany,Freiburg
65.0,3.0,459,Germany,Freiburg
49.0,2.0,908,Germany,Freiburg
70.0,3.0,574,Germany,Freiburg
35.0,2.0,616,Germany,Freiburg
44.0,2.0,585,Germany,Freiburg
76.0,2.0,1028,Germany,Freiburg
65.0,3.0,856,Germany,Freiburg
85.0,4.0,590,Germany,Freiburg
58.0,2.0,940,Germany,Freiburg
17.0,1.0,428,Germany,Freiburg
53.0,2.0,835,Germany,Freiburg
60.0,2.0,762,Germany,Freiburg
45.0,2.0,960,Germany,Freiburg
130.0,1.0,1429,Germany,Freiburg
56.0,2.0,1116,Germany,Freiburg
90.0,3.0,522,Germany,Freiburg
35.0,2.0,579,Germany,Freiburg
78.0,3.0,1044,Germany,Freiburg
58.0,2.0,783,Germany,Freiburg
70.0,3.0,1044,Germany,Freiburg
73.0,2.0,1044,Germany,Freiburg
95.0,3.0,1357,Germany,Freiburg
52.0,2.0,673,Germany,Freiburg
63.0,3.0,835,Germany,Freiburg
130.0,3.0,1723,Germany,Freiburg
66.0,2.0,908,Germany,Freiburg
60.0,2.0,867,Germany,Freiburg
72.0,2.0,488,Germany,Freiburg
52.0,2.0,887,Germany,Freiburg
78.0,3.0,1148,Germany,Freiburg
44.0,2.0,595,Germany,Freiburg
90.0,4.0,1670,Germany,Freiburg
43.0,2.0,940,Germany,Freiburg
38.0,2.0,908,Germany,Freiburg
56.0,2.0,1044,Germany,Freiburg
70.0,2.0,574,Germany,Freiburg
45.0,2.0,68,Germany,Freiburg
56.0,2.0,626,Germany,Freiburg
55.0,2.0,699,Germany,Freiburg
14.0,3.0,835,Germany,Freiburg
120.0,4.0,84,Germany,Freiburg
40.0,2.0,553,Germany,Freiburg
80.0,3.0,1357,Germany,Freiburg
61.0,2.0,835,Germany,Freiburg
48.0,2.0,1096,Germany,Freiburg
120.0,4.0,1858,Germany,Freiburg
100.0,5.0,2720,Germany,Freiburg
44.0,2.0,835,Germany,Freiburg
59.0,2.0,595,Germany,Freiburg
77.0,3.0,950,Germany,Freiburg
37.0,2.0,616,Germany,Freiburg
75.0,4.0,1441,Germany,Freiburg
58.0,2.0,846,Germany,Freiburg
37.0,2.0,981,Germany,Freiburg
40.0,2.0,606,Germany,Freiburg
48.0,2.0,652,Germany,Freiburg
100.0,3.0,1148,Germany,Freiburg
45.0,2.0,522,Germany,Freiburg
46.0,2.0,686,Germany,Freiburg
66.0,3.0,1112,Germany,Freiburg
176.0,5.0,1451,Germany,Freiburg
60.0,2.0,626,Germany,Freiburg
55.0,2.0,992,Germany,Freiburg
70.0,2.0,1357,Germany,Freiburg
40.0,2.0,470,Germany,Freiburg
40.0,2.0,835,Germany,Freiburg
65.0,2.0,1002,Germany,Freiburg
241.0,5.0,10,Germany,Freiburg
60.0,3.0,1177,Germany,Freiburg
